time,accuracy
-2.5701067447662354,0.037267080745341616
-2.9183313846588135,0.6376811594202898
-3.754395008087158,0.8322981366459627
-3.6642394065856934,0.8612836438923396
-3.197986602783203,0.8902691511387164
-5.169872522354126,0.8985507246376812
-4.7584311962127686,0.9047619047619048
-5.068329334259033,0.9047619047619048
-7.4855427742004395,0.9151138716356108
-6.255476713180542,0.9233954451345756
-5.427037954330444,0.9296066252587992
-8.42481279373169,0.9316770186335404
-9.016438484191895,0.9358178053830227
-9.0921151638031,0.9358178053830227
-11.992335081100464,0.9399585921325052
-15.883642673492432,0.9420289855072463
-13.534348487854004,0.9399585921325052
-11.924912214279175,0.937888198757764
-14.610610008239746,0.9399585921325052
-13.052511215209961,0.9358178053830227
-18.89714789390564,0.9358178053830227
-22.816028118133545,0.9358178053830227
-20.850409507751465,0.9337474120082816
-20.930693864822388,0.9296066252587992
-23.20612382888794,0.9254658385093167
-23.91922378540039,0.9296066252587992
-22.73996591567993,0.9296066252587992
-24.559830904006958,0.9296066252587992
-25.50766921043396,0.927536231884058
-30.881969928741455,0.9233954451345756
-26.72217583656311,0.9192546583850931
-38.533891916275024,0.917184265010352
-41.882997035980225,0.9130434782608695
-35.44404101371765,0.906832298136646
-31.653544902801514,0.9026915113871635
-39.613935708999634,0.9026915113871635
-43.47521185874939,0.8944099378881988
-42.911600828170776,0.8861283643892339
-46.58801078796387,0.8819875776397516
-45.654030323028564,0.8778467908902692
-54.48661255836487,0.8674948240165632
-49.55003046989441,0.8633540372670807
-51.29783391952515,0.84472049689441
-43.16318917274475,0.8405797101449275
-53.67855191230774,0.8364389233954451
-46.74705791473389,0.8343685300207039
-46.667091846466064,0.8240165631469979
-58.54029965400696,0.8219461697722568
-60.81491541862488,0.8198757763975155
-64.03349947929382,0.8053830227743272
-75.56040024757385,0.8033126293995859
-73.06958317756653,0.7867494824016563
-70.74292826652527,0.782608695652174
-71.49548935890198,0.7784679089026915
-68.00137090682983,0.772256728778468
-72.5352828502655,0.7619047619047619
-66.90491938591003,0.7619047619047619
-81.44959926605225,0.7494824016563147
-88.46554565429688,0.7329192546583851
-77.89314222335815,0.722567287784679
-81.8224618434906,0.7204968944099379
-88.19865560531616,0.7101449275362319
-86.52888536453247,0.7018633540372671
-85.46024346351624,0.6915113871635611
-79.69426941871643,0.6853002070393375
-85.29597067832947,0.6708074534161491
-79.77143025398254,0.6687370600414079
-98.80646014213562,0.6583850931677019
-94.12202715873718,0.650103519668737
-76.6958601474762,0.639751552795031
-88.43934226036072,0.6335403726708074
-90.8767442703247,0.6190476190476191
-85.34426212310791,0.6128364389233955
-93.76506042480469,0.6066252587991718
-94.29401087760925,0.6045548654244306
-94.10924124717712,0.6004140786749482
-82.45025038719177,0.5900621118012422
-99.60860800743103,0.577639751552795
-92.72978734970093,0.5652173913043478
-106.17899894714355,0.5527950310559007
-97.16672134399414,0.5424430641821946
-110.4188072681427,0.5383022774327122
-111.8899176120758,0.5238095238095238
-112.40951991081238,0.515527950310559
-114.721444606781,0.5072463768115942
-100.90404725074768,0.4989648033126294
-119.30290222167969,0.4865424430641822
-91.80107569694519,0.47619047619047616
-110.42192196846008,0.46790890269151136
-113.94599461555481,0.453416149068323
-109.50797009468079,0.4389233954451346
-110.45741963386536,0.432712215320911
-127.2653877735138,0.4306418219461698
-109.58045196533203,0.40993788819875776
-135.04371047019958,0.4078674948240166
-133.15348196029663,0.40165631469979296
-110.5200834274292,0.38923395445134573
-140.3453290462494,0.37888198757763975
-144.58339548110962,0.37267080745341613
